PMTR11410 0  (125,0)
PMTR11410 1  (62.5,108.253)
PMTR11410 2  (-62.5,108.253)
PMTR11410 3  (-125,1.53081e-14)
PMTR11410 4  (-62.5,-108.253)
PMTR11410 5  (62.5,-108.253)
PMTR11410 6  (250,0)
PMTR11410 7  (125,216.506)
PMTR11410 8  (-125,216.506)
PMTR11410 9  (-250,3.06162e-14)
PMTR11410 10  (-125,-216.506)
PMTR11410 11  (125,-216.506)
PMTR11410 12  (187.5,108.3)
PMTR11410 13  (-0.0405512,216.53)
PMTR11410 14  (-187.541,108.23)
PMTR11410 15  (-187.5,-108.3)
PMTR11410 16  (0.0405512,-216.53)
PMTR11410 17  (187.541,-108.23)
PMTR11410 18  (375,0)
PMTR11410 19  (187.5,324.76)
PMTR11410 20  (-187.5,324.76)
PMTR11410 21  (-375,4.59243e-14)
PMTR11410 22  (-187.5,-324.76)
PMTR11410 23  (187.5,-324.76)
PMTR11410 24  (312.5,108.3)
PMTR11410 25  (62.4594,324.783)
PMTR11410 26  (-250.041,216.483)
PMTR11410 27  (-312.5,-108.3)
PMTR11410 28  (-62.4594,-324.783)
PMTR11410 29  (250.041,-216.483)
PMTR11410 30  (250,216.6)
PMTR11410 31  (-62.5811,324.806)
PMTR11410 32  (-312.581,108.206)
PMTR11410 33  (-250,-216.6)
PMTR11410 34  (62.5811,-324.806)
PMTR11410 35  (312.581,-108.206)
PMTR11410 36  (500,0)
PMTR11410 37  (250,433.013)
PMTR11410 38  (-250,433.013)
PMTR11410 39  (-500,6.12323e-14)
PMTR11410 40  (-250,-433.013)
PMTR11410 41  (250,-433.013)
PMTR11410 42  (437.5,108.3)
PMTR11410 43  (124.959,433.036)
PMTR11410 44  (-312.541,324.736)
PMTR11410 45  (-437.5,-108.3)
PMTR11410 46  (-124.959,-433.036)
PMTR11410 47  (312.541,-324.736)
PMTR11410 48  (375,216.6)
PMTR11410 49  (-0.0811025,433.06)
PMTR11410 50  (-375.081,216.46)
PMTR11410 51  (-375,-216.6)
PMTR11410 52  (0.0811025,-433.06)
PMTR11410 53  (375.081,-216.46)
PMTR11410 54  (312.5,324.9)
PMTR11410 55  (-125.122,433.083)
PMTR11410 56  (-437.622,108.183)
PMTR11410 57  (-312.5,-324.9)
PMTR11410 58  (125.122,-433.083)
PMTR11410 59  (437.622,-108.183)

SiPM 1000  (-489.77,-303.17,-22.8)
SiPM 1001  (-489.77,-287.62,-22.8)
SiPM 1002  (-489.77,-272.07,-22.8)
SiPM 1003  (-489.77,-256.52,-22.8)
SiPM 1004  (-489.77,-240.97,-22.8)
SiPM 1005  (-489.77,-225.42,-22.8)
SiPM 1006  (-489.77,-209.87,-22.8)
SiPM 1007  (-489.77,-194.32,-22.8)
SiPM 1008  (-474.22,-303.17,-22.8)
SiPM 1009  (-474.22,-287.62,-22.8)
SiPM 1010  (-474.22,-272.07,-22.8)
SiPM 1011  (-474.22,-256.52,-22.8)
SiPM 1012  (-474.22,-240.97,-22.8)
SiPM 1013  (-474.22,-225.42,-22.8)
SiPM 1014  (-474.22,-209.87,-22.8)
SiPM 1015  (-474.22,-194.32,-22.8)
SiPM 1016  (-458.67,-303.17,-22.8)
SiPM 1017  (-458.67,-287.62,-22.8)
SiPM 1018  (-458.67,-272.07,-22.8)
SiPM 1019  (-458.67,-256.52,-22.8)
SiPM 1020  (-458.67,-240.97,-22.8)
SiPM 1021  (-458.67,-225.42,-22.8)
SiPM 1022  (-458.67,-209.87,-22.8)
SiPM 1023  (-458.67,-194.32,-22.8)
SiPM 1024  (-443.12,-303.17,-22.8)
SiPM 1025  (-443.12,-287.62,-22.8)
SiPM 1026  (-443.12,-272.07,-22.8)
SiPM 1027  (-443.12,-256.52,-22.8)
SiPM 1028  (-443.12,-240.97,-22.8)
SiPM 1029  (-443.12,-225.42,-22.8)
SiPM 1030  (-443.12,-209.87,-22.8)
SiPM 1031  (-443.12,-194.32,-22.8)
SiPM 1032  (-427.57,-303.17,-22.8)
SiPM 1033  (-427.57,-287.62,-22.8)
SiPM 1034  (-427.57,-272.07,-22.8)
SiPM 1035  (-427.57,-256.52,-22.8)
SiPM 1036  (-427.57,-240.97,-22.8)
SiPM 1037  (-427.57,-225.42,-22.8)
SiPM 1038  (-427.57,-209.87,-22.8)
SiPM 1039  (-427.57,-194.32,-22.8)
SiPM 1040  (-412.02,-303.17,-22.8)
SiPM 1041  (-412.02,-287.62,-22.8)
SiPM 1042  (-412.02,-272.07,-22.8)
SiPM 1043  (-412.02,-256.52,-22.8)
SiPM 1044  (-412.02,-240.97,-22.8)
SiPM 1045  (-412.02,-225.42,-22.8)
SiPM 1046  (-412.02,-209.87,-22.8)
SiPM 1047  (-412.02,-194.32,-22.8)
SiPM 1048  (-396.47,-303.17,-22.8)
SiPM 1049  (-396.47,-287.62,-22.8)
SiPM 1050  (-396.47,-272.07,-22.8)
SiPM 1051  (-396.47,-256.52,-22.8)
SiPM 1052  (-396.47,-240.97,-22.8)
SiPM 1053  (-396.47,-225.42,-22.8)
SiPM 1054  (-396.47,-209.87,-22.8)
SiPM 1055  (-396.47,-194.32,-22.8)
SiPM 1056  (-380.92,-303.17,-22.8)
SiPM 1057  (-380.92,-287.62,-22.8)
SiPM 1058  (-380.92,-272.07,-22.8)
SiPM 1059  (-380.92,-256.52,-22.8)
SiPM 1060  (-380.92,-240.97,-22.8)
SiPM 1061  (-380.92,-225.42,-22.8)
SiPM 1062  (-380.92,-209.87,-22.8)
SiPM 1063  (-380.92,-194.32,-22.8)
SiPM 2000  (-489.77,-178.77,-22.8)
SiPM 2001  (-489.77,-163.22,-22.8)
SiPM 2002  (-489.77,-147.67,-22.8)
SiPM 2003  (-489.77,-132.12,-22.8)
SiPM 2004  (-489.77,-116.57,-22.8)
SiPM 2005  (-489.77,-101.02,-22.8)
SiPM 2006  (-489.77,-85.47,-22.8)
SiPM 2007  (-489.77,-69.92,-22.8)
SiPM 2008  (-474.22,-178.77,-22.8)
SiPM 2009  (-474.22,-163.22,-22.8)
SiPM 2010  (-474.22,-147.67,-22.8)
SiPM 2011  (-474.22,-132.12,-22.8)
SiPM 2012  (-474.22,-116.57,-22.8)
SiPM 2013  (-474.22,-101.02,-22.8)
SiPM 2014  (-474.22,-85.47,-22.8)
SiPM 2015  (-474.22,-69.92,-22.8)
SiPM 2016  (-458.67,-178.77,-22.8)
SiPM 2017  (-458.67,-163.22,-22.8)
SiPM 2018  (-458.67,-147.67,-22.8)
SiPM 2019  (-458.67,-132.12,-22.8)
SiPM 2020  (-458.67,-116.57,-22.8)
SiPM 2021  (-458.67,-101.02,-22.8)
SiPM 2022  (-458.67,-85.47,-22.8)
SiPM 2023  (-458.67,-69.92,-22.8)
SiPM 2024  (-443.12,-178.77,-22.8)
SiPM 2025  (-443.12,-163.22,-22.8)
SiPM 2026  (-443.12,-147.67,-22.8)
SiPM 2027  (-443.12,-132.12,-22.8)
SiPM 2028  (-443.12,-116.57,-22.8)
SiPM 2029  (-443.12,-101.02,-22.8)
SiPM 2030  (-443.12,-85.47,-22.8)
SiPM 2031  (-443.12,-69.92,-22.8)
SiPM 2032  (-427.57,-178.77,-22.8)
SiPM 2033  (-427.57,-163.22,-22.8)
SiPM 2034  (-427.57,-147.67,-22.8)
SiPM 2035  (-427.57,-132.12,-22.8)
SiPM 2036  (-427.57,-116.57,-22.8)
SiPM 2037  (-427.57,-101.02,-22.8)
SiPM 2038  (-427.57,-85.47,-22.8)
SiPM 2039  (-427.57,-69.92,-22.8)
SiPM 2040  (-412.02,-178.77,-22.8)
SiPM 2041  (-412.02,-163.22,-22.8)
SiPM 2042  (-412.02,-147.67,-22.8)
SiPM 2043  (-412.02,-132.12,-22.8)
SiPM 2044  (-412.02,-116.57,-22.8)
SiPM 2045  (-412.02,-101.02,-22.8)
SiPM 2046  (-412.02,-85.47,-22.8)
SiPM 2047  (-412.02,-69.92,-22.8)
SiPM 2048  (-396.47,-178.77,-22.8)
SiPM 2049  (-396.47,-163.22,-22.8)
SiPM 2050  (-396.47,-147.67,-22.8)
SiPM 2051  (-396.47,-132.12,-22.8)
SiPM 2052  (-396.47,-116.57,-22.8)
SiPM 2053  (-396.47,-101.02,-22.8)
SiPM 2054  (-396.47,-85.47,-22.8)
SiPM 2055  (-396.47,-69.92,-22.8)
SiPM 2056  (-380.92,-178.77,-22.8)
SiPM 2057  (-380.92,-163.22,-22.8)
SiPM 2058  (-380.92,-147.67,-22.8)
SiPM 2059  (-380.92,-132.12,-22.8)
SiPM 2060  (-380.92,-116.57,-22.8)
SiPM 2061  (-380.92,-101.02,-22.8)
SiPM 2062  (-380.92,-85.47,-22.8)
SiPM 2063  (-380.92,-69.92,-22.8)
SiPM 3000  (-489.77,-54.37,-22.8)
SiPM 3001  (-489.77,-38.82,-22.8)
SiPM 3002  (-489.77,-23.27,-22.8)
SiPM 3003  (-489.77,-7.72,-22.8)
SiPM 3004  (-489.77,7.83,-22.8)
SiPM 3005  (-489.77,23.38,-22.8)
SiPM 3006  (-489.77,38.93,-22.8)
SiPM 3007  (-489.77,54.48,-22.8)
SiPM 3008  (-474.22,-54.37,-22.8)
SiPM 3009  (-474.22,-38.82,-22.8)
SiPM 3010  (-474.22,-23.27,-22.8)
SiPM 3011  (-474.22,-7.72,-22.8)
SiPM 3012  (-474.22,7.83,-22.8)
SiPM 3013  (-474.22,23.38,-22.8)
SiPM 3014  (-474.22,38.93,-22.8)
SiPM 3015  (-474.22,54.48,-22.8)
SiPM 3016  (-458.67,-54.37,-22.8)
SiPM 3017  (-458.67,-38.82,-22.8)
SiPM 3018  (-458.67,-23.27,-22.8)
SiPM 3019  (-458.67,-7.72,-22.8)
SiPM 3020  (-458.67,7.83,-22.8)
SiPM 3021  (-458.67,23.38,-22.8)
SiPM 3022  (-458.67,38.93,-22.8)
SiPM 3023  (-458.67,54.48,-22.8)
SiPM 3024  (-443.12,-54.37,-22.8)
SiPM 3025  (-443.12,-38.82,-22.8)
SiPM 3026  (-443.12,-23.27,-22.8)
SiPM 3027  (-443.12,-7.72,-22.8)
